Date,Scheduled Match,Game,home team,away team,h,a,y1,y2,set1,set2,settot,set4/5,diffy,diffset,align,ds,dg,won1,won2,bp1,bp2,atttot1,atttot2,atterr1,atterr2,attper1,attper2,atteff1,atteff2,sertot1,sertot2,serace1,serace2,sererr1,sererr2,sereff1,sereff2,deftot1,deftot2,deferr1,deferr2,defneg1,defneg2,defper1,defper2,defeff1,defeff2,blo1,blo2,bloinv1,bloinv2,bloper1,bloper2
14/10/2017,1,1,Casalmaggiore,Conegliano,3,4,60,75,0,3,3,0,-15,-3,1,0,0,4,-11,18,33,87,91,8,9,35,42,0.310344828,0.362637363,63,71,0,6,11,10,-0.174603175,-0.056338028,61,52,9,4,17,14,19,21,0.163934426,0.326923077,7,5,1,0,5,7
14/10/2017,1,2,Novara,Busto Arsizio,8,2,113,108,3,2,5,1,5,1,1,1,1,54,57,30,23,159,139,11,8,71,61,0.377358491,0.381294964,112,109,5,7,15,18,-0.089285714,-0.100917431,91,97,9,10,20,20,35,37,0.285714286,0.278350515,12,8,0,0,8,12
14/10/2017,1,3,Piacenza,Scandicci,10,12,40,75,0,3,3,0,-35,-3,1,0,0,22,30,4,37,81,81,1,4,24,42,0.283950617,0.469135802,41,74,0,10,3,8,-0.073170732,0.027027027,66,38,14,2,17,11,10,8,-0.060606061,0.157894737,15,2,14,7,2,15
15/10/2017,1,4,San Casciano,Monza,11,7,96,94,3,1,4,1,2,2,1,0,1,24,38,27,18,151,147,11,9,59,55,0.317880795,0.31292517,94,94,6,4,13,11,-0.074468085,-0.074468085,83,81,7,7,12,13,56,48,0.590361446,0.50617284,4,7,1,2,7,4
15/10/2017,1,5,Filottrano,Pesaro,5,9,95,74,3,1,4,1,21,2,1,0,1,10,22,30,18,142,146,11,10,51,41,0.281690141,0.212328767,94,75,3,3,7,8,-0.042553191,-0.066666667,67,87,8,6,14,25,25,24,0.253731343,0.206896552,6,18,0,0,18,6
15/10/2017,1,6,Legnano,Bergamo,6,1,75,48,3,0,3,0,27,3,1,0,1,33,26,27,9,83,96,3,7,39,29,0.43373494,0.229166667,73,50,4,1,6,3,-0.02739726,-0.04,47,67,5,8,13,13,10,15,0.106382979,0.104477612,5,17,9,11,17,15
25/10/2017,2,7,Conegliano,San Casciano,4,11,104,99,3,1,4,1,5,2,1,0,1,48,46,31,25,146,153,10,4,63,60,0.363013699,0.366013072,103,100,4,3,11,14,-0.067961165,-0.11,86,92,11,11,10,13,18,19,0.081395349,0.086956522,8,12,24,18,12,8
22/10/2017,2,8,Bergamo,Piacenza,1,10,86,98,1,3,4,1,-12,-2,1,0,0,40,44,18,26,130,128,8,10,45,50,0.284615385,0.3125,87,97,2,1,13,13,-0.126436782,-0.12371134,84,74,5,4,16,23,29,22,0.285714286,0.243243243,19,11,18,23,11,19
21/10/2017,2,9,Scandicci,Casalmaggiore,12,3,75,55,3,0,3,0,20,3,1,0,1,-22,-15,38,30,84,91,3,9,39,27,0.428571429,0.197802198,73,59,6,11,7,12,-0.01369863,-0.016949153,47,66,12,9,8,21,13,18,0.021276596,0.136363636,7,9,0,0,9,7
21/10/2017,2,10,Busto Arsizio,Filottrano,2,5,99,83,3,0,3,0,16,3,1,0,1,11,20,27,6,135,116,12,5,62,31,0.37037037,0.224137931,73,57,3,1,5,2,-0.02739726,-0.01754386,55,68,2,3,11,16,35,29,0.6,0.382352941,6,3,0,0,3,6
22/10/2017,2,11,Monza,Legnano,7,6,99,83,3,1,4,1,16,2,1,0,1,53,42,29,20,157,149,13,8,63,54,0.318471338,0.308724832,94,85,6,0,7,5,-0.010638298,-0.058823529,80,87,3,7,23,22,36,26,0.4125,0.218390805,8,13,0,0,13,8
22/10/2017,2,12,Pesaro,Novara,9,8,57,75,0,3,3,0,-18,-3,1,0,0,15,-10,14,37,95,98,5,9,29,44,0.252631579,0.357142857,58,74,2,7,7,8,-0.086206897,-0.013513514,66,51,10,2,12,7,33,31,0.348484848,0.568627451,10,8,0,0,8,10
29/10/2017,3,13,Bergamo,Casalmaggiore,1,3,79,96,1,3,4,1,-17,-2,1,0,0,15,19,15,23,129,126,9,9,42,58,0.255813953,0.388888889,79,94,2,3,6,11,-0.050632911,-0.085106383,83,73,8,8,7,13,39,22,0.373493976,0.191780822,13,11,0,0,11,13
28/10/2017,3,14,Piacenza,Busto Arsizio,10,2,98,108,2,3,5,1,-10,-1,1,1,0,-1,-13,35,49,163,167,13,18,57,63,0.26993865,0.269461078,99,107,2,6,10,11,-0.080808081,-0.046728972,96,89,8,3,11,11,43,36,0.364583333,0.370786517,16,10,0,0,10,16
29/10/2017,3,15,San Casciano,Novara,11,8,50,75,0,3,3,0,-25,-3,1,0,0,23,10,4,20,104,103,7,5,28,48,0.201923077,0.417475728,52,73,1,1,8,8,-0.134615385,-0.095890411,65,44,4,2,36,6,39,26,0.538461538,0.545454545,7,8,3,0,8,7
28/10/2017,3,16,Monza,Scandicci,7,12,73,90,1,3,4,1,-17,-2,1,0,0,17,16,16,17,135,128,11,6,43,47,0.237037037,0.3203125,74,89,6,3,11,9,-0.067567568,-0.06741573,80,63,8,8,16,15,37,16,0.3625,0.126984127,14,7,0,0,7,14
29/10/2017,3,17,Filottrano,Conegliano,5,4,55,76,0,3,3,0,-21,-3,1,0,0,8,-2,17,48,94,118,10,12,28,46,0.191489362,0.288135593,57,74,0,9,5,8,-0.087719298,0.013513514,66,52,15,2,16,8,16,25,0.015151515,0.442307692,5,4,0,0,4,5
28/10/2017,3,18,Legnano,Pesaro,6,9,88,93,1,3,4,1,-5,-2,1,0,0,48,50,22,17,159,154,10,9,54,56,0.27672956,0.305194805,92,89,5,4,7,7,-0.02173913,-0.033707865,82,85,10,11,16,17,19,19,0.109756098,0.094117647,7,11,24,19,11,7
05/11/2017,4,19,Conegliano,Legnano,4,6,75,62,3,0,3,0,13,3,1,0,1,38,30,19,11,105,108,9,10,47,32,0.361904762,0.203703704,74,63,4,3,9,7,-0.067567568,-0.063492063,56,65,3,7,10,16,13,9,0.178571429,0.030769231,6,6,17,14,6,6
04/11/2017,4,20,Casalmaggiore,Monza,3,7,78,95,1,3,4,1,-17,-2,1,0,0,32,45,15,28,136,150,4,12,42,65,0.279411765,0.353333333,79,94,5,5,10,13,-0.063291139,-0.085106383,81,69,13,8,27,9,18,39,0.061728395,0.449275362,11,6,0,0,6,11
05/11/2017,4,21,Novara,Filottrano,8,5,94,81,3,1,4,1,13,2,1,0,1,47,41,37,12,153,136,14,3,69,47,0.359477124,0.323529412,93,82,5,4,10,8,-0.053763441,-0.048780488,74,83,7,11,18,20,32,19,0.337837838,0.096385542,4,6,0,0,6,4
04/11/2017,4,22,Busto Arsizio,Bergamo,2,1,106,74,3,1,4,1,32,2,1,0,1,43,38,32,9,167,159,5,8,70,46,0.389221557,0.238993711,103,74,4,1,13,10,-0.087378641,-0.121621622,64,91,2,9,8,18,45,54,0.671875,0.494505495,6,9,0,0,9,6
05/11/2017,4,23,San Casciano,Scandicci,11,12,44,75,0,3,3,0,-31,-3,1,0,0,24,25,8,21,105,91,12,4,30,41,0.171428571,0.406593407,46,73,1,5,6,4,-0.108695652,0.01369863,69,40,8,3,8,6,43,25,0.507246377,0.55,6,2,0,1,2,6
05/11/2017,4,24,Pesaro,Piacenza,9,10,109,110,2,3,5,1,-1,-1,1,1,0,50,57,24,22,181,178,11,12,64,73,0.29281768,0.342696629,110,108,5,2,6,10,-0.009090909,-0.074074074,98,104,3,10,19,19,56,47,0.540816327,0.355769231,12,11,0,0,11,12
12/11/2017,5,25,Casalmaggiore,Pesaro,3,9,61,77,0,3,3,0,-16,-3,1,0,0,34,33,15,22,109,111,5,4,38,47,0.302752294,0.387387387,61,75,4,4,8,5,-0.06557377,-0.013333333,70,53,6,6,12,6,30,29,0.342857143,0.433962264,8,8,0,0,8,8
15/11/2017,5,26,Bergamo,Conegliano,1,4,79,97,1,3,4,1,-18,-2,1,0,0,28,43,10,29,131,136,4,12,35,63,0.236641221,0.375,80,96,3,3,9,15,-0.075,-0.125,81,71,7,6,12,6,40,38,0.407407407,0.450704225,15,11,0,0,11,15
15/11/2017,5,27,Piacenza,Novara,10,8,62,75,0,3,3,0,-13,-3,1,0,0,21,25,5,10,99,85,8,5,36,41,0.282828283,0.423529412,63,73,0,1,9,7,-0.142857143,-0.082191781,66,54,2,0,3,4,35,28,0.5,0.518518519,10,10,0,0,10,10
12/11/2017,5,28,Scandicci,Filottrano,12,5,75,54,3,0,3,0,21,3,1,0,1,24,21,38,21,102,109,8,4,47,34,0.382352941,0.275229358,74,55,5,0,3,8,0.027027027,-0.145454545,47,71,0,6,15,19,11,16,0.234042553,0.14084507,8,10,0,0,10,8
12/11/2017,5,29,Monza,Busto Arsizio,7,2,89,87,1,3,4,1,2,-2,0,0,0,46,44,20,22,150,142,9,8,55,54,0.306666667,0.323943662,90,86,6,2,10,5,-0.044444444,-0.034883721,81,80,5,12,17,14,34,24,0.358024691,0.15,11,13,0,0,13,11
11/11/2017,5,30,Legnano,San Casciano,6,11,97,96,3,1,4,1,1,2,1,0,1,44,44,17,13,148,139,10,8,58,53,0.324324324,0.323741007,95,97,2,3,12,11,-0.105263158,-0.082474227,86,83,5,7,18,18,46,45,0.476744186,0.457831325,11,11,0,0,11,11
18/11/2017,6,31,Conegliano,Monza,4,7,75,51,3,0,3,0,24,3,1,0,1,28,31,30,9,103,104,4,6,43,31,0.378640777,0.240384615,74,52,4,4,6,10,-0.027027027,-0.115384615,42,68,6,11,6,10,12,17,0.142857143,0.088235294,5,11,17,18,11,5
19/11/2017,6,32,Novara,Bergamo,8,1,75,56,3,0,3,0,19,3,1,0,1,24,24,23,10,99,100,7,12,41,33,0.343434343,0.21,74,57,4,1,9,11,-0.067567568,-0.175438596,46,65,2,8,9,15,24,23,0.47826087,0.230769231,5,4,0,0,4,5
19/11/2017,6,33,Busto Arsizio,Legnano,2,6,80,52,3,0,3,0,28,3,1,0,1,33,31,26,6,118,120,10,10,52,32,0.355932203,0.183333333,78,54,1,1,7,6,-0.076923077,-0.092592593,48,71,1,3,12,19,23,32,0.458333333,0.408450704,2,12,0,0,12,2
19/11/2017,6,34,San Casciano,Casalmaggiore,11,3,109,102,3,2,5,1,7,1,1,1,1,51,41,32,22,180,153,10,8,71,56,0.338888889,0.31372549,108,101,8,7,12,8,-0.037037037,-0.00990099,92,96,8,10,8,25,56,47,0.52173913,0.385416667,12,9,0,0,9,12
19/11/2017,6,35,Filottrano,Piacenza,5,10,58,75,0,3,3,0,-17,-3,1,0,0,44,47,8,20,92,93,6,10,31,47,0.27173913,0.397849462,60,73,0,1,12,10,-0.2,-0.123287671,63,48,2,1,12,8,26,20,0.380952381,0.395833333,9,7,0,0,7,9
19/11/2017,6,36,Pesaro,Scandicci,9,12,92,106,2,3,5,1,-14,-1,1,1,0,81,72,21,45,172,169,8,8,56,64,0.279069767,0.331360947,93,105,3,5,11,9,-0.086021505,-0.038095238,96,82,9,5,15,23,50,35,0.427083333,0.365853659,14,9,0,0,9,14
22/11/2017,7,37,Casalmaggiore,Filottrano,3,5,75,49,3,0,3,0,26,3,1,0,1,29,22,35,8,103,98,5,4,53,29,0.466019417,0.255102041,73,51,6,1,9,5,-0.04109589,-0.078431373,46,64,1,10,6,9,24,26,0.5,0.25,5,6,0,0,6,5
